Education,Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,Deals_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Web_Visits,Cmp3,Cmp4,Cmp5,Cmp1,Cmp2,Complain,Response,Age,Seniority,Total_Children,km_model,hac_model,Tot_Amt_Products,Total_Promotions
Postgraduate,Alone,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,608,2,0,1,302,0
Postgraduate,Couple,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,494,0,1,0,1196,0
Postgraduate,Alone,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,304,2,2,1,65,0
Postgraduate,Couple,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,180,1,0,0,913,0
Undergraduate,Couple,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,300,1,3,3,81,0
Graduate,Alone,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,138,1,2,3,67,0
Postgraduate,Alone,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,513,0,1,2,902,1
Graduate,Couple,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,426,1,1,0,1395,0
Postgraduate,Couple,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,474,1,3,3,53,0
Graduate,Couple,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,552,1,2,3,22,0
Postgraduate,Alone,,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,55,236,0,3,1,186,0
Postgraduate,Couple,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,270,1,3,3,31,0
Graduate,Alone,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,1,0,1,0,984,0
Undergraduate,Couple,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,597,0,3,3,122,0
Graduate,Couple,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,401,1,3,3,55,0
Graduate,Alone,,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,63,179,3,2,1,124,0
Postgraduate,Couple,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,598,2,0,2,1319,0
Graduate,Alone,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,48,1,1,0,507,0
Postgraduate,Couple,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,687,0,1,0,1693,0
Graduate,Alone,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,543,1,3,3,72,0
Graduate,Alone,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,22,0,1,0,1617,2
Graduate,Couple,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,382,2,0,2,606,0
Postgraduate,Couple,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,587,0,1,0,1957,1
Graduate,Alone,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,453,0,1,0,1093,0
Graduate,Alone,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,62,1,3,3,29,0
Graduate,Alone,,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,32,377,1,3,3,46,0
Postgraduate,Couple,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,118,1,0,2,518,0
Postgraduate,Alone,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,360,0,1,0,1438,2
Graduate,Couple,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,660,2,0,1,612,0
Graduate,Alone,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,496,1,0,2,884,0
Postgraduate,Alone,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,383,1,0,2,606,0
Graduate,Couple,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,205,0,1,0,1076,0
Graduate,Couple,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,404,1,3,3,34,0
Graduate,Couple,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,49,2,2,1,11,0
Undergraduate,Alone,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,102,1,1,0,1274,2
Graduate,Couple,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,275,1,1,0,653,0
Graduate,Couple,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,447,3,0,2,1562,0
Postgraduate,Couple,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,656,0,1,0,1253,0
Undergraduate,Couple,,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,41,653,1,3,3,109,0
Graduate,Couple,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,469,1,0,0,863,0
Postgraduate,Couple,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,450,2,0,1,661,1
Graduate,Couple,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,62,60,0,3,3,65,0
Graduate,Alone,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,37,557,1,3,3,13,0
Postgraduate,Couple,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,42,671,0,1,0,1890,0
Graduate,Alone,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,38,625,0,1,0,2209,1
Undergraduate,Couple,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,38,298,0,3,3,18,0
Graduate,Couple,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,49,543,0,0,2,692,1
Graduate,Alone,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,669,1,3,2,165,0
Graduate,Couple,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45,371,1,3,3,16,0
Undergraduate,Couple,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,41,361,1,3,3,79,0
Postgraduate,Couple,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,414,0,1,2,318,0
Graduate,Alone,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,27,124,0,1,0,778,0
Graduate,Couple,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,54,322,2,2,1,56,0
Postgraduate,Couple,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,44,348,2,2,1,151,1
Graduate,Alone,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,57,32,1,0,2,372,2
Graduate,Couple,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,41,48,0,1,0,1366,1
Graduate,Couple,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,47,159,1,2,1,194,0
Postgraduate,Couple,,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,57,587,3,0,2,603,0
Graduate,Alone,,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,57,33,2,2,1,18,0
Postgraduate,Couple,,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,41,218,0,1,0,985,0
Postgraduate,Alone,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,42,98,1,2,3,32,0
Postgraduate,Couple,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,44,36,1,2,3,43,0
Graduate,Couple,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,31,38,1,3,3,45,0
Graduate,Alone,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,54,584,1,0,2,606,1
Graduate,Alone,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,42,444,2,2,1,63,0
Undergraduate,Couple,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,210,0,1,0,978,1
Postgraduate,Couple,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,31,374,0,1,2,410,0
Undergraduate,Alone,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,54,341,1,2,1,72,0
Postgraduate,Alone,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,91,1,2,3,55,0
Graduate,Couple,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,35,435,1,1,0,1169,0
Postgraduate,Couple,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,69,408,0,1,0,1120,0
Graduate,Couple,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,55,52,0,1,0,1097,0
Undergraduate,Couple,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,35,201,1,3,3,29,0
Graduate,Couple,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,50,278,2,2,1,187,0
Graduate,Couple,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,45,512,2,0,0,910,0
Graduate,Alone,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,36,557,1,3,3,145,0
Postgraduate,Couple,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,54,569,0,1,0,850,0
Graduate,Couple,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,35,239,1,1,0,969,0
Postgraduate,Alone,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,23,596,0,1,0,1820,1
Postgraduate,Couple,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,51,4,1,0,2,608,1
Graduate,Alone,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,23,543,0,1,0,730,2
Postgraduate,Couple,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,34,564,1,0,2,551,0
Graduate,Alone,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,52,292,2,2,1,114,0
Graduate,Couple,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,44,156,0,1,0,1724,2
Undergraduate,Couple,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,36,495,1,0,2,577,0
Undergraduate,Couple,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,47,353,2,2,1,81,0
Graduate,Couple,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,45,227,1,3,3,33,0
Postgraduate,Couple,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,61,374,1,0,0,660,0
Postgraduate,Alone,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,47,125,1,2,3,80,0
Postgraduate,Couple,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,29,298,2,2,3,30,0
Graduate,Alone,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,38,433,1,3,3,43,0
Graduate,Alone,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31,474,0,1,0,1135,3
Undergraduate,Couple,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,49,496,0,1,0,559,0
Graduate,Alone,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,30,434,0,1,0,1923,0
Postgraduate,Couple,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,61,21,2,2,1,90,0
Postgraduate,Couple,,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,53,353,1,0,2,404,0
Postgraduate,Couple,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,58,50,2,0,0,661,0
Graduate,Couple,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,62,272,1,0,0,463,0
Postgraduate,Alone,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,56,476,2,0,1,632,0
Graduate,Couple,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,45,139,0,1,0,725,0
Graduate,Couple,,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,51,322,1,1,0,725,0
Postgraduate,Couple,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,50,319,2,0,1,279,0
Postgraduate,Couple,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,47,469,0,1,0,1482,1
Undergraduate,Alone,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,38,690,1,3,3,29,0
Postgraduate,Couple,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,55,357,3,2,1,106,0
Postgraduate,Alone,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,41,2,2,1,49,1
Postgraduate,Alone,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,49,336,2,2,1,38,0
Postgraduate,Alone,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,22,618,0,1,0,2077,0
Postgraduate,Couple,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,38,227,1,0,2,1053,0
Graduate,Couple,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,52,436,0,1,0,1385,0
Postgraduate,Alone,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,40,305,1,0,0,871,0
Graduate,Couple,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,26,467,1,0,2,312,0
Graduate,Couple,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,38,619,2,0,2,877,0
Graduate,Couple,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,39,609,1,3,3,68,0
Graduate,Couple,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,33,305,1,3,3,22,0
Undergraduate,Couple,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,41,676,3,0,2,211,0
Postgraduate,Couple,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,48,8,0,3,1,127,0
Postgraduate,Couple,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,61,66,2,0,0,459,0
Graduate,Couple,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,45,114,1,0,1,460,1
Undergraduate,Couple,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,42,562,1,0,2,429,0
Graduate,Alone,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,26,48,1,3,3,89,0
Postgraduate,Couple,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,62,628,1,0,2,1021,0
Graduate,Couple,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,65,495,0,1,0,1381,2
Graduate,Alone,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,56,356,1,0,2,306,0
Graduate,Alone,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,36,290,3,2,1,18,0
Graduate,Couple,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,37,255,1,3,3,162,0
Graduate,Alone,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,59,313,0,1,0,1231,0
Postgraduate,Alone,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,56,363,3,2,1,13,0
Postgraduate,Couple,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,69,601,0,1,0,1706,0
Graduate,Couple,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,30,175,1,3,3,121,0
Postgraduate,Alone,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,39,424,0,1,0,1293,0
Postgraduate,Couple,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,41,120,1,0,1,1608,0
Graduate,Couple,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,48,228,3,2,1,88,0
Graduate,Alone,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,61,223,0,1,0,421,1
Graduate,Alone,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,55,305,0,3,1,259,1
Graduate,Alone,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,26,239,0,1,0,1117,0
Graduate,Couple,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,57,124,2,2,1,89,0
Graduate,Couple,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,49,69,2,2,1,36,0
Graduate,Couple,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,32,351,1,3,3,57,0
Graduate,Couple,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,44,69,2,2,1,148,0
Postgraduate,Couple,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,55,150,2,2,1,93,0
Graduate,Alone,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,47,86,1,2,3,119,1
Postgraduate,Couple,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,39,655,1,1,0,1835,0
Postgraduate,Couple,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,66,560,0,1,0,1318,2
Postgraduate,Couple,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,44,37,2,2,1,45,0
Graduate,Couple,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,55,5,3,2,1,10,0
Undergraduate,Couple,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,210,0,1,0,978,1
Postgraduate,Couple,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,38,49,1,2,1,191,0
Undergraduate,Couple,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,26,50,1,3,3,57,0
Postgraduate,Couple,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,68,274,0,1,0,1033,0
Postgraduate,Couple,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,30,158,1,2,3,66,0
Undergraduate,Couple,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,53,14,0,3,3,43,0
Graduate,Couple,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,31,571,1,3,3,50,0
Postgraduate,Alone,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,44,113,1,2,3,39,0
Graduate,Couple,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,48,331,1,0,2,608,0
Graduate,Couple,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,38,467,0,1,0,1581,0
Postgraduate,Couple,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,50,491,2,2,1,68,0
Undergraduate,Couple,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,36,658,1,3,3,80,1
Postgraduate,Couple,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,25,408,0,1,0,1282,0
Undergraduate,Alone,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0,44,276,1,3,3,65,0
Graduate,Couple,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,26,395,1,3,3,91,0
Graduate,Couple,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,41,496,2,0,1,315,0
Graduate,Couple,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,37,182,2,2,1,31,0
Postgraduate,Couple,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,34,47,0,1,0,834,0
Graduate,Couple,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,60,283,0,1,0,1600,1
Graduate,Couple,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,60,528,0,1,0,1270,0
Postgraduate,Alone,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,41,90,2,0,1,263,1
Graduate,Alone,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,62,0,1,0,2,535,1
Graduate,Alone,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,46,202,0,1,0,1295,0
Graduate,Alone,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,36,258,1,1,0,1150,0
Postgraduate,Couple,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,37,604,0,1,0,1240,3
